seed,K,split,accuracy,precision,recall,f1,auc,model
42,1,train,0.7914883863080685,0.1836009366114735,0.6555688265153777,0.2868622198993924,0.8258707562812636,Temporal GCN
42,1,val,0.7856634016028495,0.2390594382756368,0.9048207663782448,0.378196848359597,0.8946723058139827,Temporal GCN
42,1,test,0.7761460305027957,0.1911750958212583,0.5554046713742531,0.2844425898880311,0.7360218205140818,Temporal GCN
42,3,train,0.8778079156479217,0.2924836601307189,0.6413854882054345,0.4017581595436266,0.849642758966738,Temporal GCN
42,3,val,0.8468388245770259,0.2645994832041343,0.6328800988875154,0.3731778425655976,0.8469425445837772,Temporal GCN
42,3,test,0.8558405674129191,0.2856102534226624,0.5325909831613254,0.3718240424725066,0.766967757850817,Temporal GCN
42,5,train,0.879336033007335,0.2805383022774327,0.5664377426097342,0.3752348926911285,0.7729175020131337,Temporal GCN
42,5,val,0.8469278717720392,0.2647362978283351,0.6328800988875154,0.3733138899015676,0.8700503606568888,Temporal GCN
42,5,test,0.8475948045166765,0.2478373045985734,0.4435089625203693,0.3179826696524194,0.6971714238103388,Temporal GCN
42,7,train,0.8104561430317848,0.195140048228529,0.628247237981487,0.297785011676456,0.8538345319312965,Temporal GCN
42,7,val,0.8195013357079252,0.2737741456166419,0.9110012360939432,0.4210225649814338,0.9165865516632348,Temporal GCN
42,7,test,0.7945303831342602,0.203844572368421,0.5385659967409017,0.2957494407158836,0.7830421240442219,Temporal GCN
123,1,train,0.8725454614914425,0.2504692544485322,0.4980591221260078,0.3333166808213019,0.8024492350292544,Temporal GCN
123,1,val,0.8597506678539626,0.314437984496124,0.8022249690976514,0.4517925513400626,0.893824263049711,Temporal GCN
123,1,test,0.8415029480234101,0.2109738488689234,0.3571428571428571,0.2652546646495209,0.7197436081180616,Temporal GCN
123,3,train,0.843549434596577,0.2490280441656731,0.7172290235891311,0.3696948709069221,0.837724434236289,Temporal GCN
123,3,val,0.7940338379341051,0.2489986648865153,0.9221260815822002,0.3921156373193167,0.8674770529081657,Temporal GCN
123,3,test,0.8108478558840807,0.2427104722792608,0.6420423682781097,0.3522574877067501,0.7695284527212153,Temporal GCN
123,5,train,0.8697470965770171,0.2572408003358052,0.5489698417438041,0.3503239329268293,0.7555685967928777,Temporal GCN
123,5,val,0.8369545859305432,0.2450099800399201,0.6069221260815822,0.3490934944898685,0.838266401078264,Temporal GCN
123,5,test,0.833365968278833,0.2149103942652329,0.4071156979902227,0.2813174439335648,0.6709682211899046,Temporal GCN
123,7,train,0.8443994498777506,0.2439141575912876,0.6821439235592714,0.3593393629571372,0.8645385592171623,Temporal GCN
123,7,val,0.8123775601068567,0.2662103746397694,0.9134734239802224,0.4122733612273361,0.9267051210775428,Temporal GCN
123,7,test,0.8096512412157605,0.234015748031496,0.6053775122216187,0.337548269856894,0.7838891188426478,Temporal GCN
456,1,train,0.8773972341075794,0.2971651357959426,0.6713944461033144,0.4119829600109935,0.8736645635439764,Temporal GCN
456,1,val,0.844612644701692,0.2927369353410097,0.8170580964153276,0.4310401043364851,0.9049728316728524,Temporal GCN
456,1,test,0.8483997998390009,0.2855651265987993,0.5942422596414992,0.3857545839210155,0.8018454002187405,Temporal GCN
456,3,train,0.9014937347188264,0.3109972820405603,0.4441624365482233,0.3658386620757501,0.7532747970646972,Temporal GCN
456,3,val,0.8995547640249332,0.3616652211621856,0.515451174289246,0.4250764525993883,0.7622420568717085,Temporal GCN
456,3,test,0.8723320932054044,0.2619773519163763,0.3267246061922868,0.2907904278462654,0.6605897712031688,Temporal GCN
456,5,train,0.8675790800733496,0.2563405181206228,0.5628545834577486,0.3522541462275169,0.767243216874974,Temporal GCN
456,5,val,0.8299198575244879,0.2372315035799522,0.6143386897404203,0.3422865013774104,0.7580805445503274,Temporal GCN
456,5,test,0.833822857515828,0.2290410958904109,0.4541010320478001,0.3044982698961938,0.6700428598291601,Temporal GCN
456,7,train,0.8647520629584352,0.2744363174756695,0.6778142729172888,0.3906888688094316,0.8570732330103286,Temporal GCN
456,7,val,0.8292074799643812,0.2846601941747573,0.9060568603213844,0.4332151300236406,0.9243959111279176,Temporal GCN
456,7,test,0.8328873224115049,0.2615953260999165,0.5958718087995655,0.363576104068274,0.7790422047746278,Temporal GCN
42,1,train,0.9091629737163814,0.3459305509913463,0.471484025082114,0.3990648891135401,0.7446172331713905,Static GCN
42,1,val,0.907747105966162,0.4111198120595145,0.6489493201483313,0.5033557046979866,0.8478362543827009,Static GCN
42,1,test,0.882666492613624,0.3058770138416156,0.3661053775122216,0.3332921251081716,0.6663038177067346,Static GCN
42,3,train,0.9379966381418092,0.6728187919463087,0.0598686174977605,0.109953386344941,0.645353258882079,Static GCN
42,3,val,0.9365093499554764,0.8116883116883117,0.1545117428924598,0.2596053997923156,0.6649872268711,Static GCN
42,3,test,0.9226334225355176,0.815,0.0442694187941336,0.0839773312725399,0.6180001493075716,Static GCN
42,5,train,0.0639708129584352,0.0639708129584352,1.0,0.120249187626793,0.4992790209607279,Static GCN
42,5,val,0.0720391807658058,0.0720391807658058,1.0,0.1343965445635019,0.4993819530284301,Static GCN
42,5,test,0.0810869612514413,0.0801132650838597,0.9989136338946224,0.1483303758670753,0.4997883524703407,Static GCN
42,7,train,0.6422868276283619,0.1359375,0.857270827112571,0.2346642690751563,0.7465987001776913,Static GCN
42,7,val,0.3968833481745325,0.0990857757461683,0.9110012360939432,0.1787316599975748,0.6382038075868721,Static GCN
42,7,test,0.5289036833975154,0.121168683334036,0.7805540467137425,0.2097733659355498,0.6469928546781645,Static GCN
123,1,train,0.4266217145476773,0.0072612382905603,0.0586742311137653,0.0129231679847421,0.2959390090601274,Static GCN
123,1,val,0.7020480854853072,0.0689772341148488,0.2509270704573547,0.1082089552238805,0.6555330238492234,Static GCN
123,1,test,0.5658681983334422,0.0141526334647079,0.0643671917436176,0.0232034462502447,0.3592135136944475,Static GCN
123,3,train,0.9379775366748166,0.6123348017621145,0.0830098536876679,0.1462003681304233,0.6366339365015445,Static GCN
123,3,val,0.9377560106856634,0.8055555555555556,0.1792336217552534,0.2932254802831142,0.6785840230142877,Static GCN
123,3,test,0.9190435785305572,0.457700650759219,0.0573058120586637,0.1018585566014965,0.5951904693516018,Static GCN
123,5,train,0.9112545843520784,0.3029474323913704,0.2977008062108092,0.3003012048192771,0.6558306675113711,Static GCN
123,5,val,0.9135351736420304,0.4009779951100244,0.4054388133498146,0.4031960663798402,0.710785272535525,Static GCN
123,5,test,0.8812087983813067,0.2157928388746803,0.1833242802824551,0.198237885462555,0.5750770070309325,Static GCN
123,7,train,0.9151321821515892,0.3165660630449363,0.2818751866228725,0.2982151318906966,0.6504241690384196,Static GCN
123,7,val,0.9197684772929652,0.4380053908355795,0.4017305315203955,0.4190844616376531,0.7109212654062486,Static GCN
123,7,test,0.8828405456562888,0.2120392289482583,0.170287887017925,0.1888838680524175,0.5688276012839321,Static GCN
456,1,train,0.0639708129584352,0.0639708129584352,1.0,0.120249187626793,0.5,Static GCN
456,1,val,0.0720391807658058,0.0720391807658058,1.0,0.1343965445635019,0.5,Static GCN
456,1,test,0.0818049300524334,0.0801342837834892,0.9983704508419338,0.1483604076278882,0.5001785023278916,Static GCN
456,3,train,0.6190021393643031,0.1114934456928839,0.7111077933711556,0.1927637702861305,0.6789707901260296,Static GCN
456,3,val,0.3094390026714158,0.0753240401076057,0.761433868974042,0.1370869033047735,0.4314476722800744,Static GCN
456,3,test,0.5210277832169353,0.1068073607000386,0.6762629005975014,0.1844786071494721,0.5953504816672284,Static GCN
456,5,train,0.926125076405868,0.3768701021135122,0.2369363989250522,0.2909524246035384,0.6479578603565915,Static GCN
456,5,val,0.9297417631344612,0.517921146953405,0.3572311495673671,0.4228237015362107,0.7073406733503435,Static GCN
456,5,test,0.897461001240128,0.2594493700419972,0.1510048886474742,0.190901287553648,0.5689329208048977,Static GCN
456,7,train,0.8861934596577017,0.1192352597781669,0.121976709465512,0.120590405904059,0.6291792341986583,Static GCN
456,7,val,0.9024042742653606,0.3239263803680982,0.3263288009888752,0.3251231527093596,0.825803926629563,Static GCN
456,7,test,0.877336118182016,0.1203416149068323,0.0841933731667572,0.0990731863215084,0.5531675950770435,Static GCN
