K,split,accuracy,precision,recall,f1,auc
1,train,0.9998471882640587,0.9989545997610514,0.9986563153180054,0.9988054352695237,0.9999665394249785
1,val,0.9543187889581478,0.8008130081300813,0.48702101359703337,0.6056879323597233,0.8940885387723205
1,test,0.9757413571786002,0.9859901552442256,0.7072243346007605,0.8236596552269493,0.9302961963144564
3,train,0.999885391198044,0.9992532855436081,0.9989549119140042,0.9991040764521427,0.9999835302068361
3,val,0.9545859305431879,0.8032454361054767,0.4894932014833127,0.6082949308755761,0.8883118961201879
3,test,0.975219198050606,0.9877253548139624,0.6993481803367735,0.8188901256161552,0.9153387720327107
5,train,0.9998758404645477,0.9983599224690621,0.9997014034040012,0.9990302126072361,0.9999978779612563
5,val,0.9538735529830811,0.7904191616766467,0.4894932014833127,0.6045801526717557,0.8819467417994163
5,test,0.9758718969605987,0.9886061526775541,0.706952743074416,0.8243863816310372,0.9251012576278769
7,train,0.9999044926650367,0.9988066825775657,0.9997014034040012,0.9992538427100432,0.9999979328021714
7,val,0.9562778272484417,0.8218623481781376,0.5018541409147095,0.6231772831926324,0.8691147202170573
7,test,0.9754802776146031,0.9881543752388231,0.7023356871265617,0.8210827115415146,0.9240241124405492
